Q1,Q42,Q15,Q17_1,Q17_2,Q17_3,Q17_4
Which institution are you enrolled at?,What term are you taking the course?,How interested are you in data science.,Please rank the degree to which you agree or disagree with the following statements - I want data science to be part of my career.,Please rank the degree to which you agree or disagree with the following statements - Knowing more about data science will help me get a job in my desired field when I graduate.,Please rank the degree to which you agree or disagree with the following statements - Data science is important for achieving environmental and conservation goals.,Please rank the degree to which you agree or disagree with the following statements - I'm interested in majoring or minoring in something related to data science.
"{""ImportId"":""QID1""}","{""ImportId"":""QID42""}","{""ImportId"":""QID15""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_4""}"
University of Arizona,Fall 2022,Moderately interested,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
University of Arizona,Fall 2022,Moderately interested,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree
University of Arizona,Fall 2022,Extremely interested,Strongly agree,Strongly agree,Strongly agree,Strongly agree
University of Arizona,Fall 2022,Very interested,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
University of Arizona,Fall 2022,Very interested,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree
University of Arizona,Fall 2022,Moderately interested,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree
University of Arizona,Fall 2022,Very interested,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree
University of Arizona,Fall 2022,Very interested,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree
University of Arizona,Fall 2022,Very interested,Strongly agree,Strongly agree,Strongly agree,Strongly agree
University of Arizona,Fall 2022,Slightly interested,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree
University of Arizona,Fall 2022,Moderately interested,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
University of Arizona,Fall 2022,Moderately interested,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree
University of Arizona,Fall 2022,Very interested,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
University of Arizona,Fall 2022,Moderately interested,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree
University of Arizona,Fall 2022,Moderately interested,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree
University of Arizona,Fall 2022,Moderately interested,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree
University of Arizona,Fall 2022,Very interested,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree
University of Arizona,Fall 2022,Very interested,Neither agree nor disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree
University of Arizona,Fall 2022,Moderately interested,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
University of Arizona,Fall 2022,Moderately interested,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
University of Arizona,Fall 2022,Moderately interested,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree
University of Arizona,Fall 2022,Slightly interested,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree
University of Arizona,Fall 2022,Very interested,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree
University of Arizona,Fall 2022,Slightly interested,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
University of Arizona,Fall 2022,Moderately interested,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
University of Arizona,Fall 2022,Moderately interested,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree
